date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:18	2714/2714	---M--	200	added ('OK')	text/css	etag:%22a9a-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/perfect-scrollbar/css/perfect-scrollbar.css	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/perfect-scrollbar/css/perfect-scrollbar.css	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:19	2146/2146	---M--	200	added ('OK')	text/css	etag:%22862-5c9d709231900%22	https://davur.dexignzone.com/frontend/vendor/metismenu/css/metisMenu.min.css	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/metismenu/css/metisMenu.min.css	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:20	238/238	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Mar%202023%2011:35:19%20GMT	https://davur.dexignzone.com/frontend/images/body/12.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/body/12.jpg	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:21	238/238	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Mar%202023%2011:35:20%20GMT	https://davur.dexignzone.com/frontend/images/profile/cover.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/profile/cover.jpg	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:23	238/238	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Mar%202023%2011:35:22%20GMT	https://davur.dexignzone.com/frontend/images/svg/cd-arrow.svg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/svg/cd-arrow.svg	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:24	96252/96252	---M--	200	added ('OK')	image/jpeg	etag:%22177fc-5b83b6e243080%22	https://davur.dexignzone.com/frontend/images/1.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/1.jpg	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:26	7720/7720	---M--	200	added ('OK')	image/png	etag:%221e28-5b69953754880%22	https://davur.dexignzone.com/frontend/images/like.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/like.png	(from https://davur.dexignzone.com/frontend/css/style.css)
12:35:34	124704/124704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f0d529b-1e720%22	https://cdn.lineicons.com/2.0/fonts/LineIcons.eot	C:/Mes%20Sites%20Web/dahboard%20reataurant/cdn.lineicons.com/2.0/fonts/LineIcons.eot	(from https://cdn.lineicons.com/2.0/LineIcons.css)
12:35:38	64732/64732	---M--	200	added ('OK')	font/woff	etag:%225f0d529d-fcdc%22	https://cdn.lineicons.com/2.0/fonts/LineIcons.woff	C:/Mes%20Sites%20Web/dahboard%20reataurant/cdn.lineicons.com/2.0/fonts/LineIcons.woff	(from https://cdn.lineicons.com/2.0/LineIcons.css)
12:35:43	124532/124532	---M--	200	added ('OK')	application/octet-stream	etag:%225f0d529d-1e674%22	https://cdn.lineicons.com/2.0/fonts/LineIcons.ttf	C:/Mes%20Sites%20Web/dahboard%20reataurant/cdn.lineicons.com/2.0/fonts/LineIcons.ttf	(from https://cdn.lineicons.com/2.0/LineIcons.css)
12:35:44	610039/610039	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f0d529c-94ef7%22	https://cdn.lineicons.com/2.0/fonts/LineIcons.svg	C:/Mes%20Sites%20Web/dahboard%20reataurant/cdn.lineicons.com/2.0/fonts/LineIcons.svg	(from https://cdn.lineicons.com/2.0/LineIcons.css)
12:35:45	51676/51676	---M--	200	added ('OK')	font/woff2	etag:%225f0d529d-c9dc%22	https://cdn.lineicons.com/2.0/fonts/LineIcons.woff2	C:/Mes%20Sites%20Web/dahboard%20reataurant/cdn.lineicons.com/2.0/fonts/LineIcons.woff2	(from https://cdn.lineicons.com/2.0/LineIcons.css)
12:35:45	238/238	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Mar%202023%2011:35:45%20GMT	https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.48.delayed	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:46	30949/30949	---M--	200	added ('OK')	image/png	etag:%2278e5-5c72ea5b3cb80%22	https://davur.dexignzone.com/frontend/images/food-icon/8.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/food-icon/8.png	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:47	22826/22826	---M--	200	added ('OK')	image/png	etag:%22592a-5c72ea928ce00%22	https://davur.dexignzone.com/frontend/images/food-icon/9.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/food-icon/9.png	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
